依頼主,曲名等,公開日,依頼内容,CG使用度合い,リンク,,,,,,,
ユキ YUKI,食虫植物,2024/09/21,歌ってみたMV制作,中程度,https://www.youtube.com/watch?v=yLbaExt0H0A,,,,,,,
memex,アストロノーツ・テレキャスター,2024/11/10,オリジナル楽曲MV制作,一部・無し,https://www.youtube.com/watch?v=0inHMl2SktY,,,,,一部・無し,,
shikisai,ニューワタシ革命,2024/11/11,オリジナル楽曲MV制作,中程度,https://www.youtube.com/watch?v=eYeZ1cZ6nQY,,,,,フルCG,,
紫ヶ内ムゲイ＆ChumuNote,Episode X,2024/12/14,歌ってみたMV制作,中程度,https://www.youtube.com/watch?v=Co5J7dwh1l0,,,,,中程度,,
shikisai,シャワールーム・ファンタジー,2024/12/14,CG制作,,https://www.youtube.com/watch?v=gamQG0XaJKU,,,,,,,
ユキ YUKI,ジェヘナ,2024/12/16,歌ってみたMV制作,中程度,https://www.youtube.com/watch?v=fAezMjwkNWU,,,,,,,
Sera。,セプテントリオー,2024/12/28,オリジナル楽曲MV制作,中程度,https://www.youtube.com/watch?v=_UKNvO-7ROo,,,,,,,
魔灰えん,食虫植物,2025/01/15,歌ってみたMV制作,中程度,https://www.youtube.com/watch?v=ZAyh6n9VhzY,,,,,,,
urumeiwashi,月影見し海,2025/01/20,オリジナル楽曲MV制作,フルCG,https://www.youtube.com/watch?v=mGBy8PUflyI,,,,,,,
Dcotton,花々チック,2025/02/15,オリジナル楽曲MV制作,一部・無し,https://www.youtube.com/watch?v=P__Xh6h3sKs,,,,,,,
めんま,夢如何,2025/02/21,オリジナル楽曲MV制作,フルCG,https://www.youtube.com/watch?v=GxAioK4PBLQ,,,,,,,
Ruliea,さよならギフテッド,2025/02/21,手伝い,,https://www.youtube.com/watch?v=1CI9VKyjc1k,,,,,,,
Kilihai,ホンカイ,2025/02/22,オリジナル楽曲MV制作,一部・無し,https://www.youtube.com/watch?v=HJpyavUcin0,,,,,,,
天星睦,アルカー,2025/02/28,オリジナル楽曲MV制作,中程度,https://www.youtube.com/watch?v=WNV8s62bTek,,,,,,,
urumeiwashi,パステル,2025/3/20,歌ってみたMV制作,フル3D,https://www.youtube.com/watch?v=uyXaE3Z_G6Q,,,,,,,
